"","iso","genre","tmstamp","n","dir"
"1","US","totartist","2020-01-15 09:05:13",136198,"http://musicbrainz.org/ws/2/artist/?query=country:US&fmt=json"
"2","US","acid house","2020-01-15 09:05:13",4,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""acid house""&fmt=json"
"3","US","acid jazz","2020-01-15 09:05:13",27,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""acid jazz""&fmt=json"
"4","US","acid techno","2020-01-15 09:05:13",5,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""acid techno""&fmt=json"
"5","US","acoustic blues","2020-01-15 09:05:13",21,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""acoustic blues""&fmt=json"
"6","US","acoustic rock","2020-01-15 09:05:14",55,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""acoustic rock""&fmt=json"
"7","US","afrobeat","2020-01-15 09:05:14",11,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""afrobeat""&fmt=json"
"8","US","alternative country","2020-01-15 09:05:14",56,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative country""&fmt=json"
"9","US","alternative dance","2020-01-15 09:05:14",11,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative dance""&fmt=json"
"10","US","alternative folk","2020-01-15 09:05:25",7,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative folk""&fmt=json"
"11","US","alternative hip hop","2020-01-15 09:05:25",42,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative hip hop""&fmt=json"
"12","US","alternative metal","2020-01-15 09:05:25",106,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative metal""&fmt=json"
"13","US","alternative pop","2020-01-15 09:05:26",12,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative pop""&fmt=json"
"14","US","alternative punk","2020-01-15 09:05:26",2,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative punk""&fmt=json"
"15","US","alternative rock","2020-01-15 09:05:26",483,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""alternative rock""&fmt=json"
"16","US","ambient","2020-01-15 09:05:26",263,"http://musicbrainz.org/ws/2/artist/?query=country:US AND tag:""ambient""&fmt=json"
