Country;KG_PERSON_2002;KG_PERSON_2009;ISO_3166_3
Albania;38.2;;ALB
Algeria;18.3;19.5;DZA
American Samoa;24.9;26.8;ASM
Angola;19;22.4;AGO
Antigua and Barbuda;56;84.3;ATG
Argentina;79.7;98.3;ARG
Armenia;27.7;45.8;ARM
Australia;108.2;111.5;AUS
Austria;94.1;102;AUT
Azerbaijan;15.9;32;AZE
Bahamas;123.6;109.5;BHS
Bahrain;70.7;;BHR
Bangladesh;3.1;4;BGD
Barbados;88.7;74.5;BRB
Belarus;58.6;78.4;BLR
Belgium;86.1;76.9;BEL
Belize;74.7;42.5;BLZ
Benin;16.2;20.9;BEN
Bermuda;96.2;101.7;BMU
Bhutan;3;;BTN
Bolivia;50;59.1;BOL
Bosnia and Herzegovina;21.4;27.9;BIH
Botswana;27.3;26.2;BWA
Brazil;82.4;85.3;BRA
Brunei;56.4;67.5;BRN
Bulgaria;69.4;53;BGR
Burkina Faso;11.2;14.8;BFA
Burundi;3.5;5.2;BDI
Cambodia;13.9;16.6;KHM
Cameroon;14.4;12.7;CMR
Canada;108.1;94.3;CAN
Cape Verde;26.3;46.1;CPV
Central African Republic;28;33.5;CAF
Chad;14.3;13;TCD
Chile;66.4;74.1;CHL
China;52.4;58.2;CHN
Colombia;33.9;46.5;COL
Comoros;7.6;13.4;COM
Costa Rica;40.4;51.1;CRI
Côte d'Ivoire;11.3;13.3;CIV
Croatia;49.9;66.3;HRV
Cuba;32.2;49.4;CUB
Cyprus;131.3;78.1;CYP
Czech Republic;77.3;83.4;CZE
Democratic Republic of the Congo;4.8;5.3;COD
Denmark;145.9;95.2;DNK
Djibouti;17.1;23.7;DJI
Dominica;67.1;68.6;DMA
Dominican Republic;37.8;53.7;DOM
Ecuador;45;56.4;ECU
Egypt;22.5;25.6;EGY
El Salvador;21.4;28.3;SLV
Eritrea;7.7;7.7;ERI
Estonia;67.4;59.6;EST
Ethiopia;7.9;8.5;ETH
Faroe Islands;86.4;87.3;FRO
Fiji;39.1;38.8;FJI
Finland;67.4;74.8;FIN
France;101.1;86.7;FRA
French Guiana;13.2;14.6;GUF
French Polynesia;112.2;101.9;PYF
Gabon;46;66.4;GAB
Georgia;26;25.5;GEO
Germany;82.1;88.1;DEU
Ghana;9.9;13.9;GHA
Greece;78.7;74.8;GRC
Greenland;113.8;115.7;GRL
